K,metric,mean,std,n,se,ci95_lo,ci95_hi
50,test_ROC_AUC,0.9134344711335862,0.023104979963661027,100,0.002310497996366103,0.9088499418425902,0.9180190004245823
51,test_ROC_AUC,0.9131022615535891,0.02302966114986678,100,0.0023029661149866778,0.9085326771493034,0.9176718459578748
52,test_ROC_AUC,0.9126327433628318,0.023396926011536864,100,0.0023396926011536863,0.9079902856421214,0.9172752010835423
53,test_ROC_AUC,0.9126926183452733,0.023313233447147,100,0.0023313233447147,0.9080667670450612,0.9173184696454854
54,test_ROC_AUC,0.9133888186543053,0.023172058471255277,100,0.002317205847125528,0.9087909795321237,0.9179866577764869
55,test_ROC_AUC,0.9142156552886641,0.02273198336778437,100,0.002273198336778437,0.9097051366145102,0.918726173962818
1,test_LogLoss,0.3819798079046031,0.029201427544529267,100,0.002920142754452927,0.37618561115016536,0.3877740046590409
2,test_LogLoss,0.28017070100202607,0.020541473168957724,100,0.0020541473168957723,0.2760948270747857,0.2842465749292664
3,test_LogLoss,0.2654433401998848,0.020687746149243572,100,0.0020687746149243573,0.2613384425399402,0.2695482378598294
4,test_LogLoss,0.26656704355515193,0.02103957680657719,100,0.002103957680657719,0.26239233505977044,0.2707417520505334
5,test_LogLoss,0.26472313948051307,0.021882697909741303,100,0.0021882697909741304,0.26038113746661773,0.2690651414944084
6,test_LogLoss,0.26240700913376297,0.0211613227744757,100,0.00211613227744757,0.25820814359705235,0.2666058746704736
7,test_LogLoss,0.261718912011162,0.02304019692188337,100,0.002304019692188337,0.25714723708113296,0.266290586941191
8,test_LogLoss,0.26079475570564636,0.023215550173386054,100,0.0023215550173386053,0.2561882868862026,0.26540122452509013
9,test_LogLoss,0.2608337591939034,0.02346093653068311,100,0.002346093653068311,0.2561786003974759,0.26548891799033086
10,test_LogLoss,0.2616914742962498,0.02400216622462066,100,0.002400216622462066,0.2569289237864811,0.2664540248060185
11,test_LogLoss,0.26061533902006095,0.02444127835440741,100,0.002444127835440741,0.2557656591371352,0.2654650189029867
12,test_LogLoss,0.2618953972801215,0.02526936707430241,100,0.0025269367074302407,0.2568814066296525,0.26690938793059055
13,test_LogLoss,0.26232149904909957,0.025972513483540145,100,0.0025972513483540145,0.2571679888961649,0.26747500920203426
14,test_LogLoss,0.2639051535757463,0.02634619576391413,100,0.002634619576391413,0.25867749675128904,0.26913281040020354
15,test_LogLoss,0.2635315636914225,0.02570862346579096,100,0.0025708623465790963,0.258430415043145,0.2686327123397
16,test_LogLoss,0.2648749836698037,0.026312730790695783,100,0.002631273079069578,0.2596539670220609,0.27009600031754655
17,test_LogLoss,0.266387187558397,0.026973646447638288,100,0.002697364644763829,0.2610350309056468,0.27173934421114726
18,test_LogLoss,0.2671122497567236,0.026466633728367425,100,0.0026466633728367424,0.26186069542719803,0.27236380408624916
19,test_LogLoss,0.26661243582523403,0.026919315009786265,100,0.0026919315009786265,0.26127105970848274,0.2719538119419853
20,test_LogLoss,0.26772659902906454,0.02763937886965736,100,0.002763937886965736,0.2622423466206152,0.2732108514375139
21,test_LogLoss,0.268154932376933,0.027521921813823867,100,0.0027521921813823866,0.2626939859966105,0.2736158787572555
22,test_LogLoss,0.26923697350191383,0.027681248552742888,100,0.0027681248552742887,0.2637444132399709,0.2747295337638568
23,test_LogLoss,0.2707473092160108,0.02825036702257825,100,0.002825036702257825,0.26514182350253707,0.27635279492948456
24,test_LogLoss,0.2698948178899121,0.028562373209480144,100,0.0028562373209480144,0.26422742337993327,0.2755622123998909
25,test_LogLoss,0.27132599692900844,0.02912287394675446,100,0.002912287394675446,0.265547386912602,0.2771046069454149
26,test_LogLoss,0.2729568306327837,0.029068146242069735,100,0.0029068146242069736,0.2671890797803129,0.2787245814852545
27,test_LogLoss,0.2741302187697531,0.029094436332473928,100,0.0029094436332473927,0.26835725139297845,0.2799031861465277
28,test_LogLoss,0.27430237775755933,0.02823036871362326,100,0.002823036871362326,0.2687008601424487,0.27990389537266996
29,test_LogLoss,0.2748394760707221,0.02860705560108295,100,0.002860705560108295,0.26916321560485773,0.2805157365365865
30,test_LogLoss,0.2762628839776769,0.028878191232663053,100,0.0028878191232663054,0.27053282432017645,0.28199294363517735
31,test_LogLoss,0.2767757559384519,0.0291670544044321,100,0.00291670544044321,0.2709883795607401,0.28256313231616365
32,test_LogLoss,0.2776638403381866,0.02928801376035885,100,0.002928801376035885,0.2718524630000266,0.2834752176763466
33,test_LogLoss,0.2776710032390483,0.02945143106962606,100,0.0029451431069626058,0.2718272003613652,0.2835148061167314
34,test_LogLoss,0.27923027813055595,0.029824401437586034,100,0.0029824401437586034,0.2733124698402183,0.2851480864208936
35,test_LogLoss,0.27995129213013065,0.029834278648808818,100,0.0029834278648808816,0.27403152398679875,0.28587106027346254
36,test_LogLoss,0.28117252000229204,0.029720528287177014,100,0.0029720528287177014,0.27527532239854,0.28706971760604405
37,test_LogLoss,0.2827243316307767,0.02985203446961051,100,0.002985203446961051,0.2768010403473824,0.288647622914171
38,test_LogLoss,0.28381442507303356,0.03010482964980062,100,0.003010482964980062,0.277840973741458,0.2897878764046091
39,test_LogLoss,0.28525437452192715,0.030962664917757322,100,0.0030962664917757324,0.27911071006231675,0.29139803898153754
40,test_LogLoss,0.285101850907487,0.030994403884013744,100,0.0030994403884013746,0.27895188874838944,0.2912518130665846
41,test_LogLoss,0.2877245161872935,0.0321024397220268,100,0.00321024397220268,0.28135469567892085,0.29409433669566615
42,test_LogLoss,0.2897531863961529,0.0331245123388008,100,0.0033124512338800803,0.2831805645065847,0.2963258082857211
43,test_LogLoss,0.2920153959375593,0.03333400990230604,100,0.003333400990230604,0.2854012051863088,0.29862958668880984
44,test_LogLoss,0.2917943271370197,0.034901927797944814,100,0.003490192779794481,0.28486902745904696,0.2987196268149924
45,test_LogLoss,0.29401877764681306,0.03508565585887883,100,0.003508565585887883,0.2870570223355416,0.3009805329580845
46,test_LogLoss,0.29615528618085113,0.03524086809468179,100,0.003524086809468179,0.28916273339464227,0.30314783896706
47,test_LogLoss,0.296687603539323,0.035708252537014006,100,0.0035708252537014007,0.2896023115397758,0.3037728955388702
48,test_LogLoss,0.2981840439971316,0.035760209052116645,100,0.0035760209052116644,0.2910884426977832,0.30527964529648
49,test_LogLoss,0.3000795852251019,0.035686633870415575,100,0.0035686633870415574,0.29299858283802827,0.3071605876121756
50,test_LogLoss,0.30151921626812916,0.036331052903901234,100,0.0036331052903901236,0.2943103471640388,0.3087280853722195
51,test_LogLoss,0.3027518336372454,0.03684005995521082,100,0.003684005995521082,0.2954419664911865,0.3100617007833043
52,test_LogLoss,0.3033615082611525,0.03690549009193571,100,0.003690549009193571,0.29603865835645016,0.3106843581658548
53,test_LogLoss,0.304791578507111,0.037942067076292614,100,0.0037942067076292612,0.2972630492400102,0.3123201077742119
54,test_LogLoss,0.30551411315256227,0.039131933670435985,100,0.003913193367043598,0.2977494885388388,0.31327873776628573
55,test_LogLoss,0.3068504036571117,0.039973487067799844,100,0.003997348706779985,0.29891879659171683,0.31478201072250656
1,test_Brier,0.1004472055356597,0.007783112981693311,100,0.0007783112981693311,0.09890286706422088,0.1019915440070985
2,test_Brier,0.07126605079699179,0.006784234986204493,100,0.0006784234986204493,0.06991991139067454,0.07261219020330904
3,test_Brier,0.06756847384037287,0.0071255170712260785,100,0.0007125517071226078,0.06615461666421836,0.06898233101652738
4,test_Brier,0.06780951968793623,0.007130385598078272,100,0.0007130385598078272,0.06639469649043078,0.06922434288544169
5,test_Brier,0.06708463150660511,0.007126843323275293,100,0.0007126843323275293,0.06567051117327077,0.06849875183993945
6,test_Brier,0.066291835191075,0.00692955228099203,100,0.000692955228099203,0.06491686168079012,0.06766680870135987
7,test_Brier,0.06642687895219607,0.007325557192617755,100,0.0007325557192617755,0.06497332947605527,0.06788042842833686
8,test_Brier,0.06635932067638889,0.007396149161733933,100,0.0007396149161733933,0.06489176422207148,0.0678268771307063
9,test_Brier,0.06612111949232628,0.007314812717531506,100,0.0007314812717531506,0.0646697019531457,0.06757253703150687
10,test_Brier,0.06638186756191489,0.0074272161037706496,100,0.000742721610377065,0.06490814675229516,0.06785558837153462
11,test_Brier,0.06561899603599014,0.007435348725179476,100,0.0007435348725179476,0.06414366153784438,0.0670943305341359
12,test_Brier,0.06572024626916619,0.007529217310864024,100,0.0007529217310864024,0.06422628620712675,0.06721420633120562
